Accession,tp8,tp10,tp12,tp14,tp16,tp18,tp20,tp22,tp26,tp28,tp30,tp32,tp34,tp36,tp38,tp40,tp42,tp44,tp46,tp48,tp2,tp4,tp6
PF3D7_0625300.1,1.208755,0.680296,0.863297,1.060072,1.047652,1.401091,1.45124,1.373803,7.031553,9.130969,10.668826,14.496231,17.588987,17.49144,19.098095,18.54603,15.803147,8.028036,7.696766,1.884971,1.85367,2.317798,1.429636
PF3D7_0625400.1,54.738785,47.051842,43.284996,55.276379,54.799648,62.656605,46.367325,28.794718,14.686768,13.708488,8.528413,7.763366,6.677158,3.741707,5.651858,16.364779,31.744822,51.836094,62.736004,55.500141,56.057766,62.185875,38.66832
PF3D7_0625500.1,0.314154,0.24328,0.269567,0.288859,0.042627,0.241881,0.42277,0.178507,0.233071,0.411453,0.422728,0.102307,0.745712,0.378066,0.119454,0.400188,0.32729,0.111283,0.175559,0.183536,0.066637,0.079486,0.106878
PF3D7_0625600.1,43.222691,44.902763,56.183784,44.598839,41.283047,39.23983,29.607729,19.423943,13.334888,14.012626,13.765995,12.271116,11.530097,10.682057,8.792012,7.883649,6.869379,7.732535,7.329034,10.566305,15.725844,28.14732,22.176855
PF3D7_0625700.1,0.253281,0.427238,1.725465,1.600283,0.740088,1.087741,1.096847,1.300925,3.447032,5.245884,8.148651,6.767723,9.459855,9.119318,9.534011,6.466567,4.132325,3.681005,2.004957,3.059542,0.659694,1.401682,0.785729
PF3D7_0625800.1,2.856044,1.70027,2.640982,2.055686,2.633653,2.91297,2.084345,2.388629,1.503045,2.297153,2.904239,2.483074,3.664148,3.169443,3.2618,2.730571,2.041831,1.241089,0.513784,0.64228,0.271398,0.507601,1.020857
PF3D7_0625900.1,0,0,0.202611,1.029635,0.711915,0.2664,0,0,0.520196,0.640566,0.713997,1.991127,0.312783,0.354203,0,0.094359,0,0,0.498292,0,0,0,0
PF3D7_0626000.1,4.423888,4.054935,6.191753,6.899244,8.108922,8.360703,6.362525,5.654488,5.720863,5.662308,5.951927,4.078367,5.455596,4.16445,3.6512,3.268361,2.426947,1.764792,1.8409,1.299007,0.864536,2.449426,1.742662
PF3D7_0626100.1,0,4.339752,4.043054,6.617239,3.737636,9.854902,7.561742,6.843513,13.094936,0,4.452652,56.810558,24.45784,21.406303,18.86949,30.640078,25.115042,2.9841,11.980402,7.74971,7.482904,8.199718,4.164678
PF3D7_0626200.1,2.628135,1.249487,1.693969,1.397048,1.5506,1.539517,1.412556,0.716865,0.60832,0.875855,1.389972,0.806939,1.465227,0.67359,0.522568,0.750855,0.519182,0.219514,0.466761,0.044012,0.050818,0.458271,0.426378
PF3D7_0626300.1,2.484292,1.078892,3.167776,1.731082,3.012865,2.494387,2.956386,1.222874,2.238084,4.186015,5.94571,7.764647,10.198383,7.763899,5.054396,3.971092,3.764993,1.790481,2.245454,0.9792,1.182709,1.457952,1.00047
PF3D7_0626400.1,3.030317,1.678867,1.832083,1.57482,2.370298,2.458732,0.91916,1.320131,2.32461,4.447468,8.542015,13.974947,14.056756,19.401443,23.377424,27.163122,27.55397,21.984907,19.070284,7.918756,7.226888,5.443414,2.928757
PF3D7_0626500.1,0.666423,0.264757,0.159372,0.665359,0.563276,0.263237,0.337227,0.080208,0.034742,0.057566,0.288788,0.120389,0.140756,0,0.243469,0.548869,0.109064,0.081053,0.153669,0,0.118221,0.221413,0
PF3D7_0626600.1,1.534096,0.590498,0.187469,0.298597,0.131425,0.029358,0.628215,0.072856,0.126198,0.126383,0.115751,0.029377,0.352011,0.113609,0.746643,0.817812,0.125602,0.021574,0.074147,0.125531,0.105197,0.43207,0.382928
PF3D7_0626700.1,65.468323,50.89188,51.275513,46.315327,44.519802,46.716618,32.63007,40.027966,43.454971,63.57436,68.244347,47.324123,32.543827,41.078079,41.849369,30.853949,18.515266,14.436286,17.53491,15.49965,17.947973,34.380623,28.433969
